time,ECF20/33_00,ECF20/33_01,ECF20/33_10,ECF20/33_11,ECF11/15_00,ECF11/15_01,ECF11/15_10,ECF11/15_11
0,101.5,146.0,179.0,146.5,123.5,141.5,94.0,74.5
20,108.5,97.0,129.0,111.0,118.5,129.0,103.5,81.0
40,112.0,108.5,128.5,141.0,106.5,102.0,85.0,123.5
60,113.0,127.0,130.0,120.0,105.0,120.0,119.5,113.5
80,103.0,117.5,178.5,141.0,113.0,129.5,149.5,152.5
100,131.5,146.0,407.0,249.5,132.5,133.5,290.5,295.5
120,143.5,181.0,833.0,462.5,139.0,158.5,403.5,470.5
140,137.5,204.0,1475.5,820.5,156.5,129.5,637.0,677.0
160,176.5,229.0,2298.5,1390.5,161.5,176.5,913.0,921.5
180,213.0,276.0,3312.5,2278.5,204.0,184.0,1269.5,1274.0
200,254.0,320.5,4762.5,3570.5,233.5,229.0,1704.0,1656.5
220,343.0,1255.5,6870.5,5392.5,288.5,392.5,2299.5,2050.0
240,440.0,4126.5,12329.5,5760.5,386.0,851.0,3021.0,2076.5
260,614.0,9454.5,20806.5,5691.5,498.5,1535.0,4119.5,2038.5
280,840.0,15607.0,32606.5,5670.5,637.5,2488.5,4929.0,2041.5
300,1061.5,22796.5,46776.0,5745.0,757.5,3697.5,5807.5,2059.5
320,1384.0,31067.0,61862.5,5864.0,1002.0,5091.5,6481.0,2095.5
340,1667.5,40532.0,77508.0,6148.0,1140.5,6461.5,7241.0,2114.5
360,1909.0,50802.0,93029.0,6678.0,1289.5,7926.5,7997.5,2232.5
380,2134.5,59644.5,103631.0,7356.0,1417.5,9297.0,8819.5,2258.5
400,2383.5,67508.0,110432.0,8237.0,1535.0,10809.0,9720.0,2306.5
420,2619.0,74908.0,116209.0,9028.5,1714.0,12569.5,10610.0,2437.0
440,2883.0,82058.5,119603.0,9642.0,1815.0,14487.5,11563.0,2520.5
460,3092.5,88762.5,122546.0,10247.0,1966.0,16444.5,12368.0,2600.5
480,3279.5,95906.5,125183.5,10871.0,2096.0,18396.0,13139.0,2698.5
500,3505.5,102416.0,127226.5,11580.0,2189.5,20147.0,13760.5,2731.5
520,3639.0,109218.0,128426.0,12252.0,2290.0,21617.0,14220.5,2784.5
540,3819.5,116236.5,130556.5,12760.5,2425.5,23060.5,14834.0,2870.5
560,3963.0,123776.5,132378.5,13401.5,2559.0,24343.5,15396.5,2959.5
580,4127.5,130596.5,133985.5,13859.0,2582.0,25163.0,15932.5,3051.0
600,4187.5,138164.0,136167.5,14445.5,2697.5,25965.0,16378.0,3084.0
620,4302.5,145763.5,137546.0,14834.0,2763.5,26312.5,17022.5,3122.0
640,4375.0,152486.0,138959.5,15220.0,2846.5,26665.0,17737.5,3251.0
660,4571.5,158957.5,141592.0,15777.0,2913.5,26951.0,18333.5,3310.5
680,4650.0,162498.5,142366.0,16079.0,2952.0,27123.0,19115.5,3370.0
700,4728.5,163962.0,144320.5,16407.5,3025.0,27374.0,19694.0,3444.5
720,4921.5,164919.0,145065.0,16771.0,3105.5,27653.0,20554.0,3537.0
740,5011.5,166704.0,146690.5,17058.0,3127.5,27902.5,21281.0,3635.5
760,5069.5,167827.5,147908.5,17412.0,3222.5,28064.5,21945.0,3710.0
780,5121.0,168476.5,148205.5,17636.5,3274.5,28157.5,22558.5,3716.0
800,5235.0,170090.0,150180.5,18002.5,3383.5,28164.0,23483.5,3846.5
820,5293.0,170662.5,150438.0,18346.5,3371.5,28277.0,24083.0,3935.5
840,5380.5,170516.0,151223.0,18622.0,3508.5,28402.0,24601.5,4024.0
860,5452.0,171147.5,151813.5,18846.0,3543.0,28399.0,25287.5,4079.5
880,5476.0,171335.5,151819.0,19012.0,3584.0,28399.0,25692.5,4137.5
900,5604.5,171687.0,153183.0,19315.5,3678.5,28633.0,26049.5,4220.0
920,5656.0,171926.5,153994.0,19541.5,3733.5,28577.0,26662.0,4254.0
940,5665.0,172461.0,153253.0,19733.0,3791.5,28487.5,26808.0,4411.0
960,5782.5,172035.0,153924.0,20008.5,3827.0,28444.5,27001.5,4531.5
980,5791.0,172349.0,154137.5,20158.5,3915.0,28394.0,27328.0,4624.0
1000,5848.0,171737.0,154176.5,20298.5,3981.5,28361.5,27688.5,4722.0
1020,5913.0,171674.0,154532.0,20496.0,3996.5,28202.5,27816.0,4828.5
1040,5965.0,171768.5,155625.0,20792.5,4118.0,28234.0,27901.5,4953.0
1060,6045.5,171717.5,155102.5,20970.0,4179.0,28144.5,28112.0,5070.5
1080,6087.0,170198.5,155307.0,21118.5,4207.0,28173.5,28095.5,5159.5
1100,6118.0,170203.5,155110.0,21327.0,4322.0,28436.5,28177.0,5232.0
1120,6139.5,170047.0,155241.0,21369.0,4347.0,27833.0,28289.0,5401.0
1140,6228.5,169104.5,154935.5,21525.0,4432.5,28127.5,28553.0,5543.5
1160,6321.5,168522.5,154440.5,21765.5,4456.5,27838.0,28761.0,5736.0
1180,6366.5,167972.0,153726.0,21871.5,4515.0,28242.5,28905.0,5842.5
1200,6438.5,166666.5,153830.5,21883.0,4565.0,28376.5,28975.0,6026.0
1220,6468.0,166428.5,153671.5,21965.5,4618.5,28486.0,29027.0,6186.5
1240,6498.0,165831.0,153765.0,22189.5,4703.5,28443.0,29046.5,6382.5
1260,6542.5,164327.0,153023.5,22171.0,4749.5,28425.5,29134.5,6600.5
1280,6572.5,163797.5,152833.5,22341.0,4835.5,28385.0,29415.5,6828.0
1300,6612.5,162897.5,152219.5,22457.5,4914.0,28691.0,29493.5,7072.5
1320,6723.5,162788.0,152896.0,22614.5,4958.0,29044.5,29830.0,7400.5
1340,6750.5,162252.5,152475.0,22764.0,5005.0,29216.5,30112.0,7751.0
1360,6805.5,162467.0,152137.0,22904.0,5072.5,29222.5,30348.5,8142.0
1380,6867.5,162710.5,151905.0,23101.0,5106.0,29203.5,30397.5,8587.0
1400,6877.0,162266.5,152065.0,23075.5,5174.5,29231.5,30526.5,9153.0
1420,6969.0,162331.0,151839.0,23286.5,5250.0,29176.0,30898.0,9789.0
1440,7033.0,161664.5,151851.0,23220.0,5318.5,29061.5,30881.0,10401.0
