ara,ohc14,fluo
0.0,0.0,0.007030747449971124
0.0,0.195,0.010832116811700267
0.0,0.666,0.0119664707479457
0.0,2.285,0.013026962082709497
0.0,8.05,0.013647915396963936
0.0,20.0,0.015458251677905984
0.0223,0.0,0.006967994546400183
0.0223,0.195,0.010626171286035335
0.0223,0.666,0.012400523036257344
0.0223,2.285,0.012775041790322843
0.0223,8.05,0.013975606619863355
0.0223,20.0,0.016193968358927405
0.1008,0.0,0.006165654056393111
0.1008,0.195,0.011467041547478657
0.1008,0.666,0.015345990396713806
0.1008,2.285,0.016825760334615997
0.1008,8.05,0.022998847955350777
0.1008,20.0,0.0265308543985131
0.375,0.0,0.007462852192456793
0.375,0.195,0.07152636421745345
0.375,0.666,0.1074504427717166
0.375,2.285,0.14363194553251252
0.375,8.05,0.1467047943306259
0.375,20.0,0.15700165203150987
1.453,0.0,0.014088215486041816
1.453,0.195,0.2761290456825482
1.453,0.666,0.4455192628277267
1.453,2.285,0.49872277171315216
1.453,8.05,0.48769281797183717
1.453,20.0,0.5122587093498127
13.0,0.0,0.028353553298156673
13.0,0.195,0.476816707620629
13.0,0.666,0.7605329486294071
13.0,2.285,0.7442287793524097
13.0,8.05,0.6783526220567605
13.0,20.0,0.7656871077013309
