name,8 h ,ara,ohc14,sal,ara_,ohc14_,sal_
E38-E20_000,0.021429634320380295,0,0,0,0.0,0.0,0
E38-E20_001,0.07685485482477718,0,0,1,0.0,0.0,25
E38-E20_002,0.061890060321953114,0,0,2,0.0,0.0,50
E38-E20_003,0.07863024159870778,0,0,3,0.0,0.0,100
E38-E20_010,0.061999011671103194,0,1,0,0.0,2.5,0
E38-E20_011,0.122281656982281,0,1,1,0.0,2.5,25
E38-E20_012,0.1159913904738897,0,1,2,0.0,2.5,50
E38-E20_013,0.14929737936056198,0,1,3,0.0,2.5,100
E38-E20_020,0.08188818052505767,0,2,0,0.0,5.0,0
E38-E20_021,0.1496659756898695,0,2,1,0.0,5.0,25
E38-E20_022,0.13925303421931048,0,2,2,0.0,5.0,50
E38-E20_023,0.1640110558350373,0,2,3,0.0,5.0,100
E38-E20_030,0.05911305342533317,0,3,0,0.0,10.0,0
E38-E20_031,0.10286402812061987,0,3,1,0.0,10.0,25
E38-E20_032,0.10867694304527312,0,3,2,0.0,10.0,50
E38-E20_033,0.14306067880054785,0,3,3,0.0,10.0,100
E38-E20_100,0.032922294651437874,1,0,0,0.8125,0.0,0
E38-E20_101,0.07924041080051367,1,0,1,0.8125,0.0,25
E38-E20_102,0.0884811104390156,1,0,2,0.8125,0.0,50
E38-E20_103,0.10626184089621224,1,0,3,0.8125,0.0,100
E38-E20_110,0.17760918384449198,1,1,0,0.8125,2.5,0
E38-E20_111,0.642829252853262,1,1,1,0.8125,2.5,25
E38-E20_112,0.7688330522882653,1,1,2,0.8125,2.5,50
E38-E20_113,1.5277113263832163,1,1,3,0.8125,2.5,100
E38-E20_120,0.3508433531689071,1,2,0,0.8125,5.0,0
E38-E20_121,0.9435879362339723,1,2,1,0.8125,5.0,25
E38-E20_122,1.1253057992345297,1,2,2,0.8125,5.0,50
E38-E20_123,1.6404028621707272,1,2,3,0.8125,5.0,100
E38-E20_130,0.2026642152748239,1,3,0,0.8125,10.0,0
E38-E20_131,0.6486308912862652,1,3,1,0.8125,10.0,25
E38-E20_132,0.8947695302141764,1,3,2,0.8125,10.0,50
E38-E20_133,1.5709371671558434,1,3,3,0.8125,10.0,100
E38-E20_200,0.045316971178541436,2,0,0,3.25,0.0,0
E38-E20_201,0.10197786137031409,2,0,1,3.25,0.0,25
E38-E20_202,0.12178752468910861,2,0,2,3.25,0.0,50
E38-E20_203,0.15480250585878855,2,0,3,3.25,0.0,100
E38-E20_210,0.244072771445283,2,1,0,3.25,2.5,0
E38-E20_211,0.8691941442391516,2,1,1,3.25,2.5,25
E38-E20_212,1.2629801731606625,2,1,2,3.25,2.5,50
E38-E20_213,1.9741542139250186,2,1,3,3.25,2.5,100
E38-E20_220,0.5016068992055402,2,2,0,3.25,5.0,0
E38-E20_221,1.1912289190403924,2,2,1,3.25,5.0,25
E38-E20_222,1.553683262363576,2,2,2,3.25,5.0,50
E38-E20_223,2.0944908197184446,2,2,3,3.25,5.0,100
E38-E20_230,0.2587434624142117,2,3,0,3.25,10.0,0
E38-E20_231,0.8749123542266478,2,3,1,3.25,10.0,25
E38-E20_232,1.2975871601618647,2,3,2,3.25,10.0,50
E38-E20_233,2.036409865349354,2,3,3,3.25,10.0,100
E38-E20_300,0.039067300094252744,3,0,0,13.0,0.0,0
E38-E20_301,0.08476573051289374,3,0,1,13.0,0.0,25
E38-E20_302,0.10611033886665971,3,0,2,13.0,0.0,50
E38-E20_303,0.1366582323718381,3,0,3,13.0,0.0,100
E38-E20_310,0.2233693726378455,3,1,0,13.0,2.5,0
E38-E20_311,0.7790374340061668,3,1,1,13.0,2.5,25
E38-E20_312,1.2311170692432771,3,1,2,13.0,2.5,50
E38-E20_313,1.936569732483054,3,1,3,13.0,2.5,100
E38-E20_320,0.4195135577792992,3,2,0,13.0,5.0,0
E38-E20_321,1.1282474907167734,3,2,1,13.0,5.0,25
E38-E20_322,1.5326266127576658,3,2,2,13.0,5.0,50
E38-E20_323,2.101320225990352,3,2,3,13.0,5.0,100
E38-E20_330,0.2603993386108768,3,3,0,13.0,10.0,0
E38-E20_331,0.8563891503595323,3,3,1,13.0,10.0,25
E38-E20_332,1.3847022481331936,3,3,2,13.0,10.0,50
E38-E20_333,2.004106412735651,3,3,3,13.0,10.0,100
